Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-July-2018,29.00,30.00,29.00,29.50,29.500000000000000000,8000,2,236000.00,8000,100.00,1.00,0.50
12-July-2018,31.90,31.90,31.90,31.90,31.900000000000000000,36000,3,1148400.00,36000,100.00,0.00,0.00
10-July-2018,32.50,32.50,32.20,32.20,32.350000000000000000,8000,2,258800.00,8000,100.00,0.30,-0.30
9-July-2018,31.40,31.40,31.40,31.40,31.400000000000000000,12000,1,376800.00,12000,100.00,0.00,0.00
6-July-2018,31.90,31.90,29.90,31.50,30.800000000000000000,16000,4,492800.00,12000,75.00,2.00,-0.40
5-July-2018,30.30,31.10,30.30,31.10,30.700000000000000000,8000,2,245600.00,8000,100.00,0.80,0.80
4-July-2018,29.50,30.00,29.50,30.00,29.857142857142857142,28000,4,836000.00,28000,100.00,0.50,0.50
2-July-2018,29.80,30.00,29.80,29.90,29.946153846153846153,52000,5,1557200.00,52000,100.00,0.20,0.10
29-June-2018,29.20,29.20,29.20,29.20,29.200000000000000000,16000,2,467200.00,16000,100.00,0.00,0.00
28-June-2018,28.00,30.00,27.50,29.00,29.450000000000000000,64000,5,1884800.00,60000,93.75,2.50,1.00
27-June-2018,28.00,28.90,28.00,28.75,28.621428571428571428,28000,4,801400.00,24000,85.71,0.90,0.75
26-June-2018,28.00,28.80,28.00,28.80,28.640000000000000000,20000,3,572800.00,16000,80.00,0.80,0.80
25-June-2018,28.65,28.90,28.00,28.90,28.708333333333333333,24000,4,689000.00,20000,83.33,0.90,0.25
22-June-2018,28.90,28.90,28.90,28.90,28.900000000000000000,28000,4,809200.00,28000,100.00,0.00,0.00
21-June-2018,29.00,29.00,29.00,29.00,29.000000000000000000,4000,1,116000.00,4000,100.00,0.00,0.00
18-June-2018,29.50,29.50,29.50,29.50,29.500000000000000000,4000,1,118000.00,4000,100.00,0.00,0.00
15-June-2018,29.50,30.15,29.50,30.15,29.825000000000000000,8000,2,238600.00,8000,100.00,0.65,0.65
14-June-2018,29.00,30.00,28.55,30.00,29.275757575757575757,132000,33,3864400.00,132000,100.00,1.45,1.00
12-June-2018,29.25,30.05,29.00,30.05,29.857500000000000000,80000,15,2388600.00,80000,100.00,1.05,0.80
11-June-2018,28.50,29.95,28.50,29.95,29.747222222222222222,72000,9,2141800.00,72000,100.00,1.45,1.45
8-June-2018,29.00,29.75,28.50,28.75,29.164210526315789473,380000,93,11082400.00,380000,100.00,1.25,-0.25
7-June-2018,30.00,30.35,28.25,28.90,29.577227722772277227,404000,98,11949200.00,404000,100.00,2.10,-1.10
6-June-2018,29.50,30.00,28.00,29.70,29.356250000000000000,480000,115,14091000.00,480000,100.00,2.00,0.20
5-June-2018,29.95,30.05,28.75,29.25,29.905454545454545454,440000,104,13158400.00,440000,100.00,1.30,-0.70
